SKU,EAN,UPC,TYPE,NAME,SHORTCODE,VARIANT GROUP ID,STATUS,PRICE,SALE PRICE,AVAILABLE,COMMITTED,BACKORDERED,ON HAND,TRACKING,BACKORDER LIMIT,DESCRIPTION,WEIGHT,UNIT OF WEIGHT,GTIN CODE,PRODUCT ID,OPTION 1 NAME,OPTION 1 VALUE,OPTION 2 NAME,OPTION 2 VALUE
N-JSS-NM-T---4-BRS---MNS-T-SHRT-RD-LRG,,,,In Jesus Name T - 4 BARS - Mens T-Shirt Red / Large,INJES,in-jesus-name-t-4-bars-mens-t-shirt-,ACTIVE,25,,,,,,false,0,,0,lbs,,in-jesus-name-t-4-bars-mens-t-shirt-red-large,Color,Red,Size,Large
N-JSS-NM-T---4-BRS---MNS-T-SHRT-RD-XL,,,,In Jesus Name T - 4 BARS - Mens T-Shirt Red / XL,INJES,in-jesus-name-t-4-bars-mens-t-shirt-,ACTIVE,25,,,,,,false,0,,0,lbs,,in-jesus-name-t-4-bars-mens-t-shirt-red-xl,Color,Red,Size,XL
N-JSS-NM-T---4-BRS---MNS-T-SHRT-RD-2XL,,,,In Jesus Name T - 4 BARS - Mens T-Shirt Red / 2XL,INJES,in-jesus-name-t-4-bars-mens-t-shirt-,ACTIVE,30,,,,,,false,0,,0,lbs,,in-jesus-name-t-4-bars-mens-t-shirt-red-2xl,Color,Red,Size,2XL
,,,PHYSICAL,Restoring Warriors T - Large Logo Front,RESTO,,ACTIVE,,,,,,,,,"Big and Bold, Restoring Warriors Large Logo T-shirt.
Features

  6.1 oz., 100% ring spun USA cotton
  Preshrunk, soft-washed, garment-dyed fabric
  Made with sustainably and fairly grown USA cotton and sewn with USA cotton thread
  Twill taped shoulder-to-shoulder
  Set-in sleeves
  Double-needle stitched sleeves and bottom hem
  1"" ribbed collar with double-needle topstitched neckline",,,,restoring-warriors-t-large-logo-front,,,,
RSTRNG-WRRRS-T---LRG-LG-FRNT-SMLL-BLCK,,,,Restoring Warriors T - Large Logo Front Small / Black,RESTO,restoring-warriors-t-large-logo-front,ACTIVE,25,,,,,,false,0,,0,lbs,,restoring-warriors-t-large-logo-front-small-black,Size,Small,Color,Black
RSTRNG-WRRRS-T---LRG-LG-FRNT-SMLL-WHT,,,,Restoring Warriors T - Large Logo Front Small / White,RESTO,restoring-warriors-t-large-logo-front,ACTIVE,25,,,,,,false,0,,0,lbs,,restoring-warriors-t-large-logo-front-small-white,Size,Small,Color,White
RSTRNG-WRRRS-T---LRG-LG-FRNT-SMLL-RD,,,,Restoring Warriors T - Large Logo Front Small / Red,RESTO,restoring-warriors-t-large-logo-front,ACTIVE,25,,,,,,false,0,,0,lbs,,restoring-warriors-t-large-logo-front-small-red,Size,Small,Color,Red
RSTRNG-WRRRS-T---LRG-LG-FRNT-SMLL-BL,,,,Restoring Warriors T - Large Logo Front Small / Blue,RESTO,restoring-warriors-t-large-logo-front,ACTIVE,25,,,,,,false,0,,0,lbs,,restoring-warriors-t-large-logo-front-small-blue,Size,Small,Color,Blue
RSTRNG-WRRRS-T---LRG-LG-FRNT-MDM-BLCK,,,,Restoring Warriors T - Large Logo Front Medium / Black,RESTO,restoring-warriors-t-large-logo-front,ACTIVE,25,,,,,,false,0,,0,lbs,,restoring-warriors-t-large-logo-front-medium-black,Size,Medium,Color,Black
RSTRNG-WRRRS-T---LRG-LG-FRNT-MDM-WHT,,,,Restoring Warriors T - Large Logo Front Medium / White,RESTO,restoring-warriors-t-large-logo-front,ACTIVE,25,,,,,,false,0,,0,lbs,,restoring-warriors-t-large-logo-front-medium-white,Size,Medium,Color,White
RSTRNG-WRRRS-T---LRG-LG-FRNT-MDM-RD,,,,Restoring Warriors T - Large Logo Front Medium / Red,RESTO,restoring-warriors-t-large-logo-front,ACTIVE,25,,,,,,false,0,,0,lbs,,restoring-warriors-t-large-logo-front-medium-red,Size,Medium,Color,Red
RSTRNG-WRRRS-T---LRG-LG-FRNT-MDM-BL,,,,Restoring Warriors T - Large Logo Front Medium / Blue,RESTO,restoring-warriors-t-large-logo-front,ACTIVE,25,,,,,,false,0,,0,lbs,,restoring-warriors-t-large-logo-front-medium-blue,Size,Medium,Color,Blue
RSTRNG-WRRRS-T---LRG-LG-FRNT-LRG-BLCK,,,,Restoring Warriors T - Large Logo Front Large / Black,RESTO,restoring-warriors-t-large-logo-front,ACTIVE,25,,,,,,false,0,,0,lbs,,restoring-warriors-t-large-logo-front-large-black,Size,Large,Color,Black
RSTRNG-WRRRS-T---LRG-LG-FRNT-LRG-WHT,,,,Restoring Warriors T - Large Logo Front Large / White,RESTO,restoring-warriors-t-large-logo-front,ACTIVE,25,,,,,,false,0,,0,lbs,,restoring-warriors-t-large-logo-front-large-white,Size,Large,Color,White
RSTRNG-WRRRS-T---LRG-LG-FRNT-LRG-RD,,,,Restoring Warriors T - Large Logo Front Large / Red,RESTO,restoring-warriors-t-large-logo-front,ACTIVE,25,,,,,,false,0,,0,lbs,,restoring-warriors-t-large-logo-front-large-red,Size,Large,Color,Red
RSTRNG-WRRRS-T---LRG-LG-FRNT-LRG-BL,,,,Restoring Warriors T - Large Logo Front Large / Blue,RESTO,restoring-warriors-t-large-logo-front,ACTIVE,25,,,,,,false,0,,0,lbs,,restoring-warriors-t-large-logo-front-large-blue,Size,Large,Color,Blue
RSTRNG-WRRRS-T---LRG-LG-FRNT-XL-BLCK,,,,Restoring Warriors T - Large Logo Front XL / Black,RESTO,restoring-warriors-t-large-logo-front,ACTIVE,25,,,,,,false,0,,0,lbs,,restoring-warriors-t-large-logo-front-xl-black,Size,XL,Color,Black
RSTRNG-WRRRS-T---LRG-LG-FRNT-XL-WHT,,,,Restoring Warriors T - Large Logo Front XL / White,RESTO,restoring-warriors-t-large-logo-front,ACTIVE,25,,,,,,false,0,,0,lbs,,restoring-warriors-t-large-logo-front-xl-white,Size,XL,Color,White
RSTRNG-WRRRS-T---LRG-LG-FRNT-XL-RD,,,,Restoring Warriors T - Large Logo Front XL / Red,RESTO,restoring-warriors-t-large-logo-front,ACTIVE,25,,,,,,false,0,,0,lbs,,restoring-warriors-t-large-logo-front-xl-red,Size,XL,Color,Red
,,,PHYSICAL,In Jesus Name Hoodie - Big Logo -,INJES,,ACTIVE,,,,,,,,,"Features

  7.4 oz.,80% cotton/20% polyester fleece
  100% cotton face
  Front pocket
  Sueded jersey lined hood with drawcord
  1x1 ribbed cuffs and waistband
  Tear-away label
  Inside neck patch for printable label
  Sideseamed",,,,in-jesus-name-hoodie-big-logo-,,,,
N-JSS-NM-HD---BG-LG---SMLL-BLCK,,,,In Jesus Name Hoodie - Big Logo - Small / Black,INJES,in-jesus-name-hoodie-big-logo-,ACTIVE,42,,,,,,false,0,,0,lbs,,in-jesus-name-hoodie-big-logo-small-black,Size,Small,Color,Black
N-JSS-NM-HD---BG-LG---SMLL-WHT,,,,In Jesus Name Hoodie - Big Logo - Small / White,INJES,in-jesus-name-hoodie-big-logo-,ACTIVE,42,,,,,,false,0,,0,lbs,,in-jesus-name-hoodie-big-logo-small-white,Size,Small,Color,White
N-JSS-NM-HD---BG-LG---MDM-BLCK,,,,In Jesus Name Hoodie - Big Logo - Medium / Black,INJES,in-jesus-name-hoodie-big-logo-,ACTIVE,42,,,,,,false,0,,0,lbs,,in-jesus-name-hoodie-big-logo-medium-black,Size,Medium,Color,Black
N-JSS-NM-HD---BG-LG---MDM-WHT,,,,In Jesus Name Hoodie - Big Logo - Medium / White,INJES,in-jesus-name-hoodie-big-logo-,ACTIVE,42,,,,,,false,0,,0,lbs,,in-jesus-name-hoodie-big-logo-medium-white,Size,Medium,Color,White
N-JSS-NM-HD---BG-LG---LRG-BLCK,,,,In Jesus Name Hoodie - Big Logo - Large / Black,INJES,in-jesus-name-hoodie-big-logo-,ACTIVE,42,,,,,,false,0,,0,lbs,,in-jesus-name-hoodie-big-logo-large-black,Size,Large,Color,Black
N-JSS-NM-HD---BG-LG---LRG-WHT,,,,In Jesus Name Hoodie - Big Logo - Large / White,INJES,in-jesus-name-hoodie-big-logo-,ACTIVE,42,,,,,,false,0,,0,lbs,,in-jesus-name-hoodie-big-logo-large-white,Size,Large,Color,White
N-JSS-NM-HD---BG-LG---XL-BLCK,,,,In Jesus Name Hoodie - Big Logo - XL / Black,INJES,in-jesus-name-hoodie-big-logo-,ACTIVE,42,,,,,,false,0,,0,lbs,,in-jesus-name-hoodie-big-logo-xl-black,Size,XL,Color,Black
N-JSS-NM-HD---BG-LG---XL-WHT,,,,In Jesus Name Hoodie - Big Logo - XL / White,INJES,in-jesus-name-hoodie-big-logo-,ACTIVE,42,,,,,,false,0,,0,lbs,,in-jesus-name-hoodie-big-logo-xl-white,Size,XL,Color,White
N-JSS-NM-HD---BG-LG---SMLL-MLTRY-GRN,,,,In Jesus Name Hoodie - Big Logo - Small / Military Green,INJES,in-jesus-name-hoodie-big-logo-,ACTIVE,42,,,,,,false,0,,0,lbs,,in-jesus-name-hoodie-big-logo-small-military-green,Size,Small,Color,Military Green
N-JSS-NM-HD---BG-LG---SMLL-NVY-BL,,,,In Jesus Name Hoodie - Big Logo - Small / Navy Blue,INJES,in-jesus-name-hoodie-big-logo-,ACTIVE,42,,,,,,false,0,,0,lbs,,in-jesus-name-hoodie-big-logo-small-navy-blue,Size,Small,Color,Navy Blue
N-JSS-NM-HD---BG-LG---MDM-MLTRY-GRN,,,,In Jesus Name Hoodie - Big Logo - Medium / Military Green,INJES,in-jesus-name-hoodie-big-logo-,ACTIVE,42,,,,,,false,0,,0,lbs,,in-jesus-name-hoodie-big-logo-medium-military-green,Size,Medium,Color,Military Green
N-JSS-NM-HD---BG-LG---MDM-NVY-BL,,,,In Jesus Name Hoodie - Big Logo - Medium / Navy Blue,INJES,in-jesus-name-hoodie-big-logo-,ACTIVE,42,,,,,,false,0,,0,lbs,,in-jesus-name-hoodie-big-logo-medium-navy-blue,Size,Medium,Color,Navy Blue
N-JSS-NM-HD---BG-LG---LRG-MLTRY-GRN,,,,In Jesus Name Hoodie - Big Logo - Large / Military Green,INJES,in-jesus-name-hoodie-big-logo-,ACTIVE,42,,,,,,false,0,,0,lbs,,in-jesus-name-hoodie-big-logo-large-military-green,Size,Large,Color,Military Green
N-JSS-NM-HD---BG-LG---LRG-NVY-BL,,,,In Jesus Name Hoodie - Big Logo - Large / Navy Blue,INJES,in-jesus-name-hoodie-big-logo-,ACTIVE,42,,,,,,false,0,,0,lbs,,in-jesus-name-hoodie-big-logo-large-navy-blue,Size,Large,Color,Navy Blue
N-JSS-NM-HD---BG-LG---XL-MLTRY-GRN,,,,In Jesus Name Hoodie - Big Logo - XL / Military Green,INJES,in-jesus-name-hoodie-big-logo-,ACTIVE,42,,,,,,false,0,,0,lbs,,in-jesus-name-hoodie-big-logo-xl-military-green,Size,XL,Color,Military Green
,,,PHYSICAL,In Jesus Name Hoodie - 4 Bars Logo -,INJES,,ACTIVE,,,,,,,,,"Features

  7.4 oz.,80% cotton/20% polyester fleece
  100% cotton face
  Front pocket
  Sueded jersey lined hood with drawcord
  1x1 ribbed cuffs and waistband
  Tear-away label
  Inside neck patch for printable label
  Sideseamed",,,,in-jesus-name-hoodie-4-bars-logo-,,,,
N-JSS-NM-HD---4-BRS-LG---SMLL-BLCK,,,,In Jesus Name Hoodie - 4 Bars Logo - Small / Black,INJES,in-jesus-name-hoodie-4-bars-logo-,ACTIVE,42,,,,,,false,0,,0,lbs,,in-jesus-name-hoodie-4-bars-logo-small-black,Size,Small,Color,Black
N-JSS-NM-HD---4-BRS-LG---SMLL-WHT,,,,In Jesus Name Hoodie - 4 Bars Logo - Small / White,INJES,in-jesus-name-hoodie-4-bars-logo-,ACTIVE,42,,,,,,false,0,,0,lbs,,in-jesus-name-hoodie-4-bars-logo-small-white,Size,Small,Color,White
N-JSS-NM-HD---4-BRS-LG---SMLL-MLTRY-GRN,,,,In Jesus Name Hoodie - 4 Bars Logo - Small / Military Green,INJES,in-jesus-name-hoodie-4-bars-logo-,ACTIVE,42,,,,,,false,0,,0,lbs,,in-jesus-name-hoodie-4-bars-logo-small-military-green,Size,Small,Color,Military Green
N-JSS-NM-HD---4-BRS-LG---SMLL-NVY-BL,,,,In Jesus Name Hoodie - 4 Bars Logo - Small / Navy Blue,INJES,in-jesus-name-hoodie-4-bars-logo-,ACTIVE,42,,,,,,false,0,,0,lbs,,in-jesus-name-hoodie-4-bars-logo-small-navy-blue,Size,Small,Color,Navy Blue
N-JSS-NM-HD---4-BRS-LG---MDM-BLCK,,,,In Jesus Name Hoodie - 4 Bars Logo - Medium / Black,INJES,in-jesus-name-hoodie-4-bars-logo-,ACTIVE,42,,,,,,false,0,,0,lbs,,in-jesus-name-hoodie-4-bars-logo-medium-black,Size,Medium,Color,Black
N-JSS-NM-HD---4-BRS-LG---MDM-WHT,,,,In Jesus Name Hoodie - 4 Bars Logo - Medium / White,INJES,in-jesus-name-hoodie-4-bars-logo-,ACTIVE,42,,,,,,false,0,,0,lbs,,in-jesus-name-hoodie-4-bars-logo-medium-white,Size,Medium,Color,White
N-JSS-NM-HD---4-BRS-LG---MDM-MLTRY-GRN,,,,In Jesus Name Hoodie - 4 Bars Logo - Medium / Military Green,INJES,in-jesus-name-hoodie-4-bars-logo-,ACTIVE,42,,,,,,false,0,,0,lbs,,in-jesus-name-hoodie-4-bars-logo-medium-military-green,Size,Medium,Color,Military Green
N-JSS-NM-HD---4-BRS-LG---MDM-NVY-BL,,,,In Jesus Name Hoodie - 4 Bars Logo - Medium / Navy Blue,INJES,in-jesus-name-hoodie-4-bars-logo-,ACTIVE,42,,,,,,false,0,,0,lbs,,in-jesus-name-hoodie-4-bars-logo-medium-navy-blue,Size,Medium,Color,Navy Blue
N-JSS-NM-HD---4-BRS-LG---LRG-BLCK,,,,In Jesus Name Hoodie - 4 Bars Logo - Large / Black,INJES,in-jesus-name-hoodie-4-bars-logo-,ACTIVE,42,,,,,,false,0,,0,lbs,,in-jesus-name-hoodie-4-bars-logo-large-black,Size,Large,Color,Black
N-JSS-NM-HD---4-BRS-LG---LRG-WHT,,,,In Jesus Name Hoodie - 4 Bars Logo - Large / White,INJES,in-jesus-name-hoodie-4-bars-logo-,ACTIVE,42,,,,,,false,0,,0,lbs,,in-jesus-name-hoodie-4-bars-logo-large-white,Size,Large,Color,White
N-JSS-NM-HD---4-BRS-LG---LRG-MLTRY-GRN,,,,In Jesus Name Hoodie - 4 Bars Logo - Large / Military Green,INJES,in-jesus-name-hoodie-4-bars-logo-,ACTIVE,42,,,,,,false,0,,0,lbs,,in-jesus-name-hoodie-4-bars-logo-large-military-green,Size,Large,Color,Military Green
N-JSS-NM-HD---4-BRS-LG---LRG-NVY-BL,,,,In Jesus Name Hoodie - 4 Bars Logo - Large / Navy Blue,INJES,in-jesus-name-hoodie-4-bars-logo-,ACTIVE,42,,,,,,false,0,,0,lbs,,in-jesus-name-hoodie-4-bars-logo-large-navy-blue,Size,Large,Color,Navy Blue
N-JSS-NM-HD---4-BRS-LG---XL-BLCK,,,,In Jesus Name Hoodie - 4 Bars Logo - XL / Black,INJES,in-jesus-name-hoodie-4-bars-logo-,ACTIVE,42,,,,,,false,0,,0,lbs,,in-jesus-name-hoodie-4-bars-logo-xl-black,Size,XL,Color,Black
N-JSS-NM-HD---4-BRS-LG---XL-WHT,,,,In Jesus Name Hoodie - 4 Bars Logo - XL / White,INJES,in-jesus-name-hoodie-4-bars-logo-,ACTIVE,42,,,,,,false,0,,0,lbs,,in-jesus-name-hoodie-4-bars-logo-xl-white,Size,XL,Color,White
N-JSS-NM-HD---4-BRS-LG---XL-MLTRY-GRN,,,,In Jesus Name Hoodie - 4 Bars Logo - XL / Military Green,INJES,in-jesus-name-hoodie-4-bars-logo-,ACTIVE,42,,,,,,false,0,,0,lbs,,in-jesus-name-hoodie-4-bars-logo-xl-military-green,Size,XL,Color,Military Green
,,,PHYSICAL,Restoring Warriors Hoodie - Large Logo,RESTO,,ACTIVE,,,,,,,,,"Features

  7.4 oz.,80% cotton/20% polyester fleece
  100% cotton face
  Front pocket
  Sueded jersey lined hood with drawcord
  1x1 ribbed cuffs and waistband
  Tear-away label
  Inside neck patch for printable label
  Sideseamed",,,,restoring-warriors-hoodie-large-logo,,,,
RSTRNG-WRRRS-HD---LRG-LG-SMLL-BLCK,,,,Restoring Warriors Hoodie - Large Logo Small / Black,RESTO,restoring-warriors-hoodie-large-logo,ACTIVE,42,,,,,,false,0,,0,lbs,,restoring-warriors-hoodie-large-logo-small-black,Size,Small,Color,Black
RSTRNG-WRRRS-HD---LRG-LG-SMLL-WHT,,,,Restoring Warriors Hoodie - Large Logo Small / White,RESTO,restoring-warriors-hoodie-large-logo,ACTIVE,42,,,,,,false,0,,0,lbs,,restoring-warriors-hoodie-large-logo-small-white,Size,Small,Color,White
RSTRNG-WRRRS-HD---LRG-LG-SMLL-MLTRY-GRN,,,,Restoring Warriors Hoodie - Large Logo Small / Military Green,RESTO,restoring-warriors-hoodie-large-logo,ACTIVE,42,,,,,,false,0,,0,lbs,,restoring-warriors-hoodie-large-logo-small-military-green,Size,Small,Color,Military Green
RSTRNG-WRRRS-HD---LRG-LG-SMLL-NVY-BL,,,,Restoring Warriors Hoodie - Large Logo Small / Navy Blue,RESTO,restoring-warriors-hoodie-large-logo,ACTIVE,42,,,,,,false,0,,0,lbs,,restoring-warriors-hoodie-large-logo-small-navy-blue,Size,Small,Color,Navy Blue
RSTRNG-WRRRS-HD---LRG-LG-MDM-BLCK,,,,Restoring Warriors Hoodie - Large Logo Medium / Black,RESTO,restoring-warriors-hoodie-large-logo,ACTIVE,42,,,,,,false,0,,0,lbs,,restoring-warriors-hoodie-large-logo-medium-black,Size,Medium,Color,Black
RSTRNG-WRRRS-HD---LRG-LG-MDM-WHT,,,,Restoring Warriors Hoodie - Large Logo Medium / White,RESTO,restoring-warriors-hoodie-large-logo,ACTIVE,42,,,,,,false,0,,0,lbs,,restoring-warriors-hoodie-large-logo-medium-white,Size,Medium,Color,White
RSTRNG-WRRRS-HD---LRG-LG-MDM-MLTRY-GRN,,,,Restoring Warriors Hoodie - Large Logo Medium / Military Green,RESTO,restoring-warriors-hoodie-large-logo,ACTIVE,42,,,,,,false,0,,0,lbs,,restoring-warriors-hoodie-large-logo-medium-military-green,Size,Medium,Color,Military Green
RSTRNG-WRRRS-HD---LRG-LG-MDM-NVY-BL,,,,Restoring Warriors Hoodie - Large Logo Medium / Navy Blue,RESTO,restoring-warriors-hoodie-large-logo,ACTIVE,42,,,,,,false,0,,0,lbs,,restoring-warriors-hoodie-large-logo-medium-navy-blue,Size,Medium,Color,Navy Blue
RSTRNG-WRRRS-HD---LRG-LG-LRG-BLCK,,,,Restoring Warriors Hoodie - Large Logo Large / Black,RESTO,restoring-warriors-hoodie-large-logo,ACTIVE,42,,,,,,false,0,,0,lbs,,restoring-warriors-hoodie-large-logo-large-black,Size,Large,Color,Black
RSTRNG-WRRRS-HD---LRG-LG-LRG-WHT,,,,Restoring Warriors Hoodie - Large Logo Large / White,RESTO,restoring-warriors-hoodie-large-logo,ACTIVE,42,,,,,,false,0,,0,lbs,,restoring-warriors-hoodie-large-logo-large-white,Size,Large,Color,White
RSTRNG-WRRRS-HD---LRG-LG-LRG-MLTRY-GRN,,,,Restoring Warriors Hoodie - Large Logo Large / Military Green,RESTO,restoring-warriors-hoodie-large-logo,ACTIVE,42,,,,,,false,0,,0,lbs,,restoring-warriors-hoodie-large-logo-large-military-green,Size,Large,Color,Military Green
RSTRNG-WRRRS-HD---LRG-LG-LRG-NVY-BL,,,,Restoring Warriors Hoodie - Large Logo Large / Navy Blue,RESTO,restoring-warriors-hoodie-large-logo,ACTIVE,42,,,,,,false,0,,0,lbs,,restoring-warriors-hoodie-large-logo-large-navy-blue,Size,Large,Color,Navy Blue
RSTRNG-WRRRS-HD---LRG-LG-XL-BLCK,,,,Restoring Warriors Hoodie - Large Logo XL / Black,RESTO,restoring-warriors-hoodie-large-logo,ACTIVE,42,,,,,,false,0,,0,lbs,,restoring-warriors-hoodie-large-logo-xl-black,Size,XL,Color,Black
RSTRNG-WRRRS-HD---LRG-LG-XL-WHT,,,,Restoring Warriors Hoodie - Large Logo XL / White,RESTO,restoring-warriors-hoodie-large-logo,ACTIVE,42,,,,,,false,0,,0,lbs,,restoring-warriors-hoodie-large-logo-xl-white,Size,XL,Color,White
